"r";"i";"hh";"Value"
"EUS";"FOT";"hh4";24.34100504
"EUS";"ROI";"hh4";11.608016125
"EUS";"BUI";"hh4";0.856295704
"EUS";"TRN";"hh4";10.157964962
"EUS";"AGR";"hh4";5.342242594
"EUS";"SER";"hh4";67.32833069
"DEU";"oil";"hh5";14.236442857
"DEU";"gas";"hh5";2.051580743
"DEU";"ppp";"hh5";9.2185749
"DEU";"nmm";"hh5";1.874228889
"DEU";"nfm";"hh5";0.005830384
"DEU";"mvh";"hh5";35.62656891
"DEU";"ele";"hh5";8.19239711
"DEU";"COL";"hh5";0.037531289
"DEU";"CRU";"hh5";0.008853298
"DEU";"CHM";"hh5";12.518930187
"DEU";"IRS";"hh5";0.001101742
"DEU";"MAC";"hh5";24.498189673
"DEU";"FOT";"hh5";35.73422516
"DEU";"ROI";"hh5";37.88228989
"DEU";"BUI";"hh5";1.653082729
"DEU";"TRN";"hh5";17.544706479
"DEU";"AGR";"hh5";2.1489018
"DEU";"SER";"hh5";198.26281773
"DEU";"DWE";"hh5";54.733697
"FRA";"oil";"hh5";10.109995771
"FRA";"gas";"hh5";0.728770742
